mSec,N-M,Degrees,Degrees,Deg/Sec
0,8.1,195,60,0
10,8.1,195,60,0
20,8.1,195,60,0
30,8.1,195,60,0
40,8.1,195,60,0
50,8.1,195,60,0
60,8.1,195,60,0
70,8.1,195,60,0
80,8.1,195,60,0
90,8.1,195,60,0
100,8.1,195,60,0
110,8.1,195,60,0
120,8.1,195,60,0
130,8.1,195,60,0
140,8.1,195,60,0
150,8.1,195,60,0
160,8.1,195,60,0
170,8.1,195,60,0
180,8.1,195,60,0
190,8.1,195,60,0
200,8.1,195,60,0
210,8.1,195,60,0
220,8.1,195,60,0
230,8.1,195,60,0
240,8.1,195,60,0
250,8.1,195,60,0
260,8.1,195,60,0
270,8.1,195,60,0
280,8.1,195,60,0
290,8.1,195,60,0
300,8.1,195,60,0
310,8.1,195,60,0
320,8.1,195,60,0
330,8.1,195,60,0
340,8.1,195,60,0
350,8.1,195,60,0
360,8.1,195,60,0
370,8.1,195,60,0
380,8.1,195,60,0
390,8.1,195,60,0
400,8.1,195,60,0
410,8.1,195,60,0
420,8.1,195,60,0
430,8.1,195,60,0
440,8.1,195,60,0
450,8.1,195,60,0
460,8.1,195,60,0
470,8.1,195,60,0
480,8.1,195,60,0
490,8.1,195,60,0
500,8.1,195,60,0
510,8.1,195,60,0
520,8.1,195,60,0
530,8.1,195,60,0
540,8.1,195,60,0
550,8.1,195,60,0
560,8.1,195,60,0
570,8.1,195,60,0
580,8.1,195,60,0
590,8.1,195,60,0
600,8.1,195,60,0
610,8.1,195,60,0
620,8.1,195,60,0
630,8.1,195,60,0
640,8.1,195,60,0
650,8.1,195,60,0
660,8.1,195,60,0
670,8.1,195,60,0
680,8.1,195,60,0
690,8.1,195,60,0
700,8.1,195,60,0
710,8.1,195,60,0
720,8.1,195,60,0
730,8.1,195,60,0
740,8.1,195,60,0
750,8.1,195,60,0
760,8.1,195,60,0
770,8.1,195,60,0
780,8.1,195,60,0
790,8.1,195,60,0
800,8.1,195,60,0
810,8.1,195,60,0
820,8.1,195,60,0
830,8.1,195,60,0
840,8.1,195,60,0
850,8.1,195,60,0
860,8.1,195,60,0
870,8.1,195,60,0
880,8.1,195,60,0
890,8.1,195,60,0
900,8.4,195,60,0
910,9.2,195,60,0.2
920,9.5,195,60,0.2
930,9.8,195,60,0
940,10.3,195,60,-0.2
950,12.6,195,60,0
960,13.4,195,60,0
970,16.3,195,60,0.2
980,15.6,195,60,0.2
990,15.6,195,60,0
1000,16.4,195,60,0
1010,17,195,60,0.2
1020,17.1,195,60,0
1030,16.7,195,60,0
1040,16.7,195,60,0
1050,17,195,60,0
1060,17.4,195,60,0
1070,17.5,195,60,0
1080,17.9,195,60,0
1090,18.3,195,60,0
1100,18.7,195,60,0
1110,19.1,195,60,0.2
1120,19.5,195,60,0.2
1130,19.9,195,60,0
1140,20.3,195,60,0
1150,20.5,195,60,0
1160,20.7,195,60,0
1170,21.2,195,60,0
1180,21.6,195,60,0
1190,22,195,60,0
1200,22.5,195,60,0
1210,23.1,195,60,0
1220,23.3,195,60,0
1230,23.9,195,60,0
1240,24.4,195,60,0
1250,24.8,195,60,0
1260,25.2,195,60,0
1270,25.5,195,60,0
1280,25.9,195,60,-0.2
1290,26.3,195,60,0
1300,26.7,195,60,0
1310,27.1,195,60,0.2
1320,27.5,195,60,0.2
1330,28.1,195,60,0
1340,28.5,195,60,0.2
1350,29,195,60,0
1360,29.3,195,60,0
1370,29.6,195,60,0
1380,29.8,195,60,0.2
1390,30.1,195,60,0
1400,30.4,195,60,0
1410,30.6,195,60,0
1420,30.9,195,60,0
1430,31.2,195,60,0
1440,31.3,195,60,0
1450,31.6,195,60,0
